assessment_id,mmel_id,branch,mmel_title,status,models,engines,fenix_names,printed_pages,pdf_pages,note,fenix_evidence,tested_in_sim,approved_for_generation
F090,34-43-01,TCAS II,Traffic Alert and Collision Avoidance System (TCAS II),K,A319/A320/A321 CEO,CFM56 / IAE V2500,TCAS,34-21; 34-22,355; 356,Совпадает функция; проверить режим отказа и ограничения выбранной строки.,ALPHA_2021,False,False
F091,34-48-01,GPWS,Ground Proximity Warning System (GPWS),U,A319/A320/A321 CEO,CFM56 / IAE V2500,GPWC,34-23; 34-24,357; 358,"Полный GPWC может затронуть GPWS, TAWS и windshear; выделить все последствия.",ALPHA_2021,False,False
F092,34-52-01,ATC transponder,ATC Transponders and Automatic Altitude Reporting Systems,K,A319/A320/A321 CEO,CFM56 / IAE V2500,ATC 1; ATC 2,34-25,359,"Учитывать оставшийся транспондер, altitude reporting и ADS-B; не считать все функции автоматически тождественными.",ALPHA_2021,False,False
F093,34-53-01,ADF,ADF System,K,A319/A320/A321 CEO,CFM56 / IAE V2500,ADF 1; ADF 2,34-25,359,"Только установленные приёмники; alpha упоминает два, комплектация конкретного Fenix ещё не проверена.",ALPHA_2021,False,False
F094,34-55-01,VOR,VOR Navigation,K,A319/A320/A321 CEO,CFM56 / IAE V2500,VOR 1; VOR 2,34-26,360,Сохранить требования к маршруту/средствам навигации из MMEL.,ALPHA_2021,False,False
F095,34-58-01,"GPS, selected configuration",Global Positioning System,K,A319/A320/A321 CEO,CFM56 / IAE V2500,GPS 1; GPS 2,34-29; 34-30; 34-31; 34-32; 34-33,363; 364; 365; 366; 367,Определить стандарт GPS/MMR и оставшиеся навигационные функции; не смешивать GPS с полным ADIRS.,ALPHA_2021,False,False
F096,35-13-01,pressure indication vs oxygen depletion,Indications on DOOR/OXY ECAM Page,X,A319/A320/A321 CEO,CFM56 / IAE V2500,Crew oxygen pressure < 400; Crew oxygen pressure < 800,35-1; 35-2,369; 370,Малое количество кислорода не равно отказу указателя. Эти сценарии не включать по пункту индикации.,ALPHA_2021,False,False
F097,36-11-02,PRV secured closed,Bleed Valves (PRV),U,A319/A320/A321 CEO,CFM56 / IAE V2500,Eng 1 bleed valve; Eng 2 bleed valve,36-5,379,Fenix фиксирует текущее положение. Требуется именно closed и последствия по 36-11-01.,ALPHA_2021,False,False
F098,36-11-07,HPV closed,High Pressure Valves (HPV),U,A319/A320/A321 CEO,CFM56 / IAE V2500,Eng 1 HP Valve; Eng 2 HP Valve,36-7,381,Нужно подтвердить закрытое положение и соответствующую строку MMEL.,ALPHA_2021,False,False
F099,36-11-08,"BMC, CEO standard",Bleed Monitoring Computer (BMC),U,A319/A320/A321 CEO,CFM56 / IAE V2500,BMC 1; BMC 2,36-8; 36-9; 36-10; 36-11; 36-12; 36-13,382; 383; 384; 385; 386; 387,Ветви зависят от модификаций/систем; не считать BMC1/BMC2 симметричными без разбора строки.,ALPHA_2021,False,False
F100,36-12-02,"APU bleed valve, state and ACT",APU Bleed Valve,U,A319/A320/A321 CEO,CFM56 / IAE V2500,APU bleed valve,36-14; 36-15,388; 389,Раздельно open/closed. Для ACT-конфигураций есть дополнительные условия.,ALPHA_2021,False,False
F101,36-12-04,AUTO/MAN control vs mechanically stuck valve,Cross Bleed Valve,X,A319/A320/A321 CEO,CFM56 / IAE V2500,Crossbleed valve,36-16,390,MMEL допускает потерю одного способа управления при сохранении другого; заклинивший клапан не эквивалентен.,ALPHA_2021,False,False
F102,36-22-15,detection loops vs actual leak,Pylon Leak Detection Loops,X,A319/A320/A321 CEO,CFM56 / IAE V2500,Bleed leak pylon engine 1; Bleed leak pylon engine 2,36-17; 36-18; 36-19,391; 392; 393,Настоящая утечка не является отказом контура обнаружения утечки.,ALPHA_2021,False,False
F103,46-21-01,ATSU,Air Traffic Service Unit System (ATSU),K,A319/A320/A321 CEO,CFM56 / IAE V2500,ATSU,46-2,403,"Совпадает блок; определить связанные функции datalink, не переносить на EFB.",ALPHA_2021,False,False
F104,49-10-01,APU system via ECB failure,APU System,U,A319/A320/A321 CEO,CFM56 / IAE V2500,ECB,49-1; 49-2,406; 407,Проверить потерю APU и отсутствие пожара/других повреждений; выбрать ветвь ACT.,ALPHA_2021,False,False
F105,49-30-02,APU LP valve,APU LP Valve,U,A319/A320/A321 CEO,CFM56 / IAE V2500,APU fuel valve,49-3,408,Требуется идентификация клапана и его положения; APU fire не эквивалентен.,ALPHA_2021,False,False
F106,52-70-01,door indication by physical door type,ECAM DOOR Page Indications,U,A319/A320/A321 CEO,CFM56 / IAE V2500,Aft cargo door; Forward cargo door; Forward avionics door,52-7; 52-8; 52-9,415; 416; 417,"Alpha описывает сигнал датчика. Проверить, что дверь физически закрыта; количество/расположение дверей различается у A319/320/321.",ALPHA_2021,False,False
F107,74-31-01,ignition channel vs no ignition,Ignition Systems,U,A319/A320/A321 CEO,CFM56 / IAE V2500,Eng 1 no ignition; Eng 2 no ignition,74-1,437,"Нельзя назначить допуск отдельного igniter на общий отказ запуска без проверки, какой канал остался работоспособен.",ALPHA_2021,False,False
F108,78-30-01,"1) CEO, one reverser secured stowed",Thrust Reverser Systems,K,A319/A320/A321 CEO,CFM56 / IAE V2500,Left reverser inhibited by maint; Right reverser inhibited by maint,78-2; 78-3; 78-4; 78-5; 78-6; 78-7; 78-8,444; 445; 446; 447; 448; 449; 450,Подходящий вид отказа. Раздельные проверки CFM switches / IAE LVDT; оба тормозных условия и характеристики обязательны.,ALPHA_2021,False,False
F109,78-30-01,unlocked/pressurized is not secured stowed,Thrust Reverser Systems,X,A319/A320/A321 CEO,CFM56 / IAE V2500,Left reverser unlocked; Left reverser pressurized; Right reverser unlocked; Right reverser pressurized,78-2; 78-3; 78-4; 78-5; 78-6; 78-7; 78-8,444; 445; 446; 447; 448; 449; 450,Не соответствует требованию отключённого убранного реверса и отсутствия REV PRESSURIZED.,ALPHA_2021,False,False
F110,79-31-01,quantity indication vs actual low oil,Oil Quantity Indications,X,A319/A320/A321 CEO,CFM56 / IAE V2500,Eng 1 low oil quantity; Eng 2 low oil quantity,79-2,454,Физически малое количество масла не равно отказу указателя количества.,ALPHA_2021,False,False
F111,80-11-01,1)a) CFM/IAE start valve,Start Valve System,U,A319/A320/A321 CEO,CFM56 / IAE V2500,Start valve left; Start valve right,80-1; 80-2,471; 472,Alpha: механически закрыт. FAA требует наземной ручной работы клапана; доступность такого обслуживания в Fenix не подтверждена.,ALPHA_2021,False,False
F112,26-11-01,outside chosen CEO/CFM56/IAE scope,MLG Bay Fire Detection Loops (A321neo XLR),N,Вне A319/A320/A321 CEO,Вне выбранной конфигурации,,26-1,155,"Пункт относится к neo/XLR, A318/PW6000 либо их оборудованию; вне выбранного состава Fenix.",FAA_SCOPE + LOCAL_GUIDE_2025,False,False
F113,26-11-02,outside chosen CEO/CFM56/IAE scope,MLG Bay Fire Detection System (A321neo XLR),N,Вне A319/A320/A321 CEO,Вне выбранной конфигурации,,26-2,156,"Пункт относится к neo/XLR, A318/PW6000 либо их оборудованию; вне выбранного состава Fenix.",FAA_SCOPE + LOCAL_GUIDE_2025,False,False
F114,27-64-05,outside chosen CEO/CFM56/IAE scope,LAF DEGRADED Caution on ECAM EWD (A321neo XLR),N,Вне A319/A320/A321 CEO,Вне выбранной конфигурации,,27-18,190,"Пункт относится к neo/XLR, A318/PW6000 либо их оборудованию; вне выбранного состава Fenix.",FAA_SCOPE + LOCAL_GUIDE_2025,False,False
F115,27-92-07,outside chosen CEO/CFM56/IAE scope,STICK SENSOR FAULT Caution on ECAM EWD (A321neo XLR),N,Вне A319/A320/A321 CEO,Вне выбранной конфигурации,,27-21,193,"Пункт относится к neo/XLR, A318/PW6000 либо их оборудованию; вне выбранного состава Fenix.",FAA_SCOPE + LOCAL_GUIDE_2025,False,False
F116,27-93-04,outside chosen CEO/CFM56/IAE scope,LAWS REDUND LOST Caution on ECAM EWD (A321neo XLR),N,Вне A319/A320/A321 CEO,Вне выбранной конфигурации,,27-24,196,"Пункт относится к neo/XLR, A318/PW6000 либо их оборудованию; вне выбранного состава Fenix.",FAA_SCOPE + LOCAL_GUIDE_2025,False,False
F117,28-21-04,outside chosen CEO/CFM56/IAE scope,Rear Center Tank System (A321neo XLR),N,Вне A319/A320/A321 CEO,Вне выбранной конфигурации,,28-11; 28-12; 28-13,220; 221; 222,"Пункт относится к neo/XLR, A318/PW6000 либо их оборудованию; вне выбранного состава Fenix.",FAA_SCOPE + LOCAL_GUIDE_2025,False,False
F118,28-25-07,outside chosen CEO/CFM56/IAE scope,RCT Inlet Valve,N,Вне A319/A320/A321 CEO,Вне выбранной конфигурации,,28-19,228,"Пункт относится к neo/XLR, A318/PW6000 либо их оборудованию; вне выбранного состава Fenix.",FAA_SCOPE + LOCAL_GUIDE_2025,False,False
F119,28-25-08,outside chosen CEO/CFM56/IAE scope,RCT Refuel Valve,N,Вне A319/A320/A321 CEO,Вне выбранной конфигурации,,28-19,228,"Пункт относится к neo/XLR, A318/PW6000 либо их оборудованию; вне выбранного состава Fenix.",FAA_SCOPE + LOCAL_GUIDE_2025,False,False
F120,30-21-03,outside chosen CEO/CFM56/IAE scope,ANTI-ICE ENG 1(2) CTL FAULT Cautions on ECAM EWD (A319neo/A320neo/ A321neo),N,Вне A319/A320/A321 CEO,Вне выбранной конфигурации,,30-6,276,"Пункт относится к neo/XLR, A318/PW6000 либо их оборудованию; вне выбранного состава Fenix.",FAA_SCOPE + LOCAL_GUIDE_2025,False,False
F121,71-10-01,outside chosen CEO/CFM56/IAE scope,ENG 1(2) FAN COWL NOT CLSD Alert (A319neo/A320neo/ A321neo),N,Вне A319/A320/A321 CEO,Вне выбранной конфигурации,,71-2,420,"Пункт относится к neo/XLR, A318/PW6000 либо их оборудованию; вне выбранного состава Fenix.",FAA_SCOPE + LOCAL_GUIDE_2025,False,False
F122,71-13-01,outside chosen CEO/CFM56/IAE scope,Fan Cowl Loss Prevention Mechanical System (A319neo/A320neo/ A321neo with CFM LEAP-1A Engines),N,Вне A319/A320/A321 CEO,Вне выбранной конфигурации,,71-2,420,"Пункт относится к neo/XLR, A318/PW6000 либо их оборудованию; вне выбранного состава Fenix.",FAA_SCOPE + LOCAL_GUIDE_2025,False,False
F123,73-20-11,outside chosen CEO/CFM56/IAE scope,Engine Overthrust Protection System (A318 or A319neo/ A320neo/A321neo),N,Вне A319/A320/A321 CEO,Вне выбранной конфигурации,,73-2,422,"Пункт относится к neo/XLR, A318/PW6000 либо их оборудованию; вне выбранного состава Fenix.",FAA_SCOPE + LOCAL_GUIDE_2025,False,False
F124,73-30-05,outside chosen CEO/CFM56/IAE scope,MINOR FAULT Cautions on ECAM EWD (A319neo/A320neo/ A321neo),N,Вне A319/A320/A321 CEO,Вне выбранной конфигурации,,73-4,424,"Пункт относится к neo/XLR, A318/PW6000 либо их оборудованию; вне выбранного состава Fenix.",FAA_SCOPE + LOCAL_GUIDE_2025,False,False
F125,73-30-08,outside chosen CEO/CFM56/IAE scope,HEAT SYS DEGRAD Cautions on ECAM EWD (A319neo/A320neo/ A321neo with PW 1100G Engines) (A319neo/A320neo/ A321neo with PW 1100G Engines) (A319neo/A320neo/ A321neo with PW 1100G Engines),N,Вне A319/A320/A321 CEO,Вне выбранной конфигурации,,73-15,435,"Пункт относится к neo/XLR, A318/PW6000 либо их оборудованию; вне выбранного состава Fenix.",FAA_SCOPE + LOCAL_GUIDE_2025,False,False
F126,73-30-10,outside chosen CEO/CFM56/IAE scope,HP FUEL VALVE Cautions on ECAM EWD (A319neo/A320neo/ A321neo with CFM LEAP-1A Engines),N,Вне A319/A320/A321 CEO,Вне выбранной конфигурации,,73-16,436,"Пункт относится к neo/XLR, A318/PW6000 либо их оборудованию; вне выбранного состава Fenix.",FAA_SCOPE + LOCAL_GUIDE_2025,False,False
F127,73-30-11,outside chosen CEO/CFM56/IAE scope,FADEC IDENT FAULT Cautions on ECAM EWD (A319neo/A320neo/ A321neo with CFM LEAP-1A Engines),N,Вне A319/A320/A321 CEO,Вне выбранной конфигурации,,73-16,436,"Пункт относится к neo/XLR, A318/PW6000 либо их оборудованию; вне выбранного состава Fenix.",FAA_SCOPE + LOCAL_GUIDE_2025,False,False
F128,75-22-02,outside chosen CEO/CFM56/IAE scope,Buffer Air Check Valve (A319neo/A320neo/ A321neo with PW 1100G Engines),N,Вне A319/A320/A321 CEO,Вне выбранной конфигурации,,75-1,439,"Пункт относится к neo/XLR, A318/PW6000 либо их оборудованию; вне выбранного состава Fenix.",FAA_SCOPE + LOCAL_GUIDE_2025,False,False
F129,75-25-02,outside chosen CEO/CFM56/IAE scope,TCA Valve (PW 6000 Engines Only),N,Вне A319/A320/A321 CEO,Вне выбранной конфигурации,,75-2,440,"Пункт относится к neo/XLR, A318/PW6000 либо их оборудованию; вне выбранного состава Fenix.",FAA_SCOPE + LOCAL_GUIDE_2025,False,False
F130,75-25-03,outside chosen CEO/CFM56/IAE scope,FADEC Blower (A319neo/A320neo/ A321neo with CFM LEAP-1A Engines and Mod. 163105/ MP P20228),N,Вне A319/A320/A321 CEO,Вне выбранной конфигурации,,75-2,440,"Пункт относится к neo/XLR, A318/PW6000 либо их оборудованию; вне выбранного состава Fenix.",FAA_SCOPE + LOCAL_GUIDE_2025,False,False
F131,78-31-02,outside chosen CEO/CFM56/IAE scope,REV MINOR FAULT Caution on ECAM EWD (A319neo/A320neo/ A321neo),N,Вне A319/A320/A321 CEO,Вне выбранной конфигурации,,78-10,452,"Пункт относится к neo/XLR, A318/PW6000 либо их оборудованию; вне выбранного состава Fenix.",FAA_SCOPE + LOCAL_GUIDE_2025,False,False
F132,79-20-03,outside chosen CEO/CFM56/IAE scope,Air Oil Cooler Valve (PW 6000 Engines Only),N,Вне A319/A320/A321 CEO,Вне выбранной конфигурации,,79-1,453,"Пункт относится к neo/XLR, A318/PW6000 либо их оборудованию; вне выбранного состава Fenix.",FAA_SCOPE + LOCAL_GUIDE_2025,False,False
F133,80-11-06,outside chosen CEO/CFM56/IAE scope,DUAL COOLING Control (A319neo/A320neo/ A321neo with PW 1100G Engines and Mod. 161854/ MP P15967),N,Вне A319/A320/A321 CEO,Вне выбранной конфигурации,,80-2,472,"Пункт относится к neo/XLR, A318/PW6000 либо их оборудованию; вне выбранного состава Fenix.",FAA_SCOPE + LOCAL_GUIDE_2025,False,False
